* Block Type = 96fast
* Chemistry = TAQMAN
* Experiment File Name = C:\Applied Biosystems\7500\bin\Untitled
* Experiment Run End Time = Not Started
* Instrument Type = sds7500fast
* Passive Reference = ROX

[Sample Setup]
Well	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
A1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A10	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A10	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A11	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A11	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
A12	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
A12	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B1	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B1	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B2	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B2	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B3	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B3	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B4	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B4	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B5	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B5	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B6	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B6	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B7	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B7	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B8	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B8	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
B9	replace				RP	"RGB(208,243,98)"	UNKNOWN	VIC	None		
B9	replace				SARS-CoV-2	"RGB(139,189,249)"	UNKNOWN	FAM	None		
